"scales","left-weight","left-distance","right-weight","right-distance"
"right","one","one","one","two"
"right","one","one","one","three"
"right","one","one","one","four"
"right","one","one","one","five"
"right","one","one","two","one"
"right","one","one","two","two"
"right","one","one","two","three"
"right","one","one","two","four"
"right","one","one","two","five"
"right","one","one","three","one"
"right","one","one","three","two"
"right","one","one","three","three"
"right","one","one","three","four"
"right","one","one","three","five"
"right","one","one","four","one"
"right","one","one","four","two"
"right","one","one","four","three"
"right","one","one","four","four"
"right","one","one","four","five"
"right","one","one","five","one"
"right","one","one","five","two"
"right","one","one","five","three"
"right","one","one","five","four"
"right","one","one","five","five"
"left","one","two","one","one"
"balanced","one","two","one","two"
"right","one","two","one","three"
"right","one","two","one","four"
"right","one","two","one","five"
"balanced","one","two","two","one"
"right","one","two","two","two"
"right","one","two","two","three"
"right","one","two","two","four"
"right","one","two","two","five"
"right","one","two","three","one"
"right","one","two","three","two"
"right","one","two","three","three"
"right","one","two","three","four"
"right","one","two","three","five"
"right","one","two","four","one"
"right","one","two","four","two"
"right","one","two","four","three"
"right","one","two","four","four"
"right","one","two","four","five"
"right","one","two","five","one"
"right","one","two","five","two"
"right","one","two","five","three"
"right","one","two","five","four"
"right","one","two","five","five"
"left","one","three","one","one"
"left","one","three","one","two"
"balanced","one","three","one","three"
"right","one","three","one","four"
"right","one","three","one","five"
"left","one","three","two","one"
"right","one","three","two","two"
"right","one","three","two","three"
"right","one","three","two","four"
"right","one","three","two","five"
"balanced","one","three","three","one"
"right","one","three","three","two"
"right","one","three","three","three"
"right","one","three","three","four"
"right","one","three","three","five"
"right","one","three","four","one"
"right","one","three","four","two"
"right","one","three","four","three"
"right","one","three","four","four"
"right","one","three","four","five"
"right","one","three","five","one"
"right","one","three","five","two"
"right","one","three","five","three"
"right","one","three","five","four"
"right","one","three","five","five"
"left","one","four","one","one"
"left","one","four","one","two"
"left","one","four","one","three"
"balanced","one","four","one","four"
"right","one","four","one","five"
"left","one","four","two","one"
"balanced","one","four","two","two"
"right","one","four","two","three"
"right","one","four","two","four"
"right","one","four","two","five"
"left","one","four","three","one"
"right","one","four","three","two"
"right","one","four","three","three"
"right","one","four","three","four"
"right","one","four","three","five"
"balanced","one","four","four","one"
"right","one","four","four","two"
"right","one","four","four","three"
"right","one","four","four","four"
"right","one","four","four","five"
"right","one","four","five","one"
"right","one","four","five","two"
"right","one","four","five","three"
"right","one","four","five","four"
"right","one","four","five","five"
"left","one","five","one","one"
"left","one","five","one","two"
"left","one","five","one","three"
"left","one","five","one","four"
"balanced","one","five","one","five"
"left","one","five","two","one"
"left","one","five","two","two"
"right","one","five","two","three"
"right","one","five","two","four"
"right","one","five","two","five"
"left","one","five","three","one"
"right","one","five","three","two"
"right","one","five","three","three"
"right","one","five","three","four"
"right","one","five","three","five"
"left","one","five","four","one"
"right","one","five","four","two"
"right","one","five","four","three"
"right","one","five","four","four"
"right","one","five","four","five"
"balanced","one","five","five","one"
"right","one","five","five","two"
"right","one","five","five","three"
"right","one","five","five","four"
"right","one","five","five","five"
"left","two","one","one","one"
"balanced","two","one","one","two"
"right","two","one","one","three"
"right","two","one","one","four"
"right","two","one","one","five"
"balanced","two","one","two","one"
"right","two","one","two","two"
"right","two","one","two","three"
"right","two","one","two","four"
"right","two","one","two","five"
"right","two","one","three","one"
"right","two","one","three","two"
"right","two","one","three","three"
"right","two","one","three","four"
"right","two","one","three","five"
"right","two","one","four","one"
"right","two","one","four","two"
"right","two","one","four","three"
"right","two","one","four","four"
"right","two","one","four","five"
"right","two","one","five","one"
"right","two","one","five","two"
"right","two","one","five","three"
"right","two","one","five","four"
"right","two","one","five","five"
"left","two","two","one","one"
"left","two","two","one","two"
"left","two","two","one","three"
"balanced","two","two","one","four"
"right","two","two","one","five"
"left","two","two","two","one"
"balanced","two","two","two","two"
"right","two","two","two","three"
"right","two","two","two","four"
"right","two","two","two","five"
"left","two","two","three","one"
"right","two","two","three","two"
"right","two","two","three","three"
"right","two","two","three","four"
"right","two","two","three","five"
"balanced","two","two","four","one"
"right","two","two","four","two"
"right","two","two","four","three"
"right","two","two","four","four"
"right","two","two","four","five"
"right","two","two","five","one"
"right","two","two","five","two"
"right","two","two","five","three"
"right","two","two","five","four"
"right","two","two","five","five"
"left","two","three","one","one"
"left","two","three","one","two"
"left","two","three","one","three"
"left","two","three","one","four"
"left","two","three","one","five"
"left","two","three","two","one"
"left","two","three","two","two"
"balanced","two","three","two","three"
"right","two","three","two","four"
"right","two","three","two","five"
