Suit_Card_1,Rank_Card_1,Suit_Card_2,Rank_Card_2,Suit_Card_3,Rank_Card_3,Suit_Card_4,Rank_Card_4,Suit_Card_5,Rank_Card_5,Poker_Hand
Hearts,Ten,Hearts,Jack,Hearts,King,Hearts,Queen,Hearts,Ace,Royal_Flush
Spades,Jack,Spades,King,Spades,Ten,Spades,Queen,Spades,Ace,Royal_Flush
Diamonds,Queen,Diamonds,Jack,Diamonds,King,Diamonds,Ten,Diamonds,Ace,Royal_Flush
Clubs,Ten,Clubs,Jack,Clubs,Ace,Clubs,King,Clubs,Queen,Royal_Flush
Clubs,Ace,Clubs,King,Clubs,Queen,Clubs,Jack,Clubs,Ten,Royal_Flush
Hearts,Two,Hearts,Four,Hearts,Five,Hearts,Three,Hearts,Six,Straight_Flush
Hearts,Nine,Hearts,Queen,Hearts,Ten,Hearts,Jack,Hearts,King,Straight_Flush
Spades,Ace,Spades,Two,Spades,Three,Spades,Four,Spades,Five,Straight_Flush
Diamonds,Five,Diamonds,Six,Diamonds,Nine,Diamonds,Seven,Diamonds,Eight,Straight_Flush
Clubs,Ace,Clubs,Four,Clubs,Two,Clubs,Three,Clubs,Five,Straight_Flush
Hearts,Ace,Spades,Ace,Diamonds,Nine,Hearts,Five,Spades,Three,One_Pair
Spades,Six,Spades,Ace,Clubs,King,Spades,Four,Clubs,Nine,Nothing
Hearts,Ten,Clubs,Six,Hearts,Two,Hearts,Ace,Diamonds,Eight,Nothing
Spades,King,Spades,Ace,Clubs,Four,Hearts,Five,Spades,Jack,Nothing
Diamonds,Eight,Clubs,Queen,Diamonds,Nine,Clubs,Two,Diamonds,Two,One_Pair
Hearts,Three,Clubs,Seven,Hearts,Five,Spades,Four,Clubs,King,Nothing
Hearts,Four,Hearts,Ace,Hearts,Three,Diamonds,Five,Diamonds,Two,Straight
Diamonds,Eight,Diamonds,Queen,Spades,Seven,Spades,Six,Hearts,Two,Nothing
Clubs,Eight,Hearts,Jack,Clubs,Six,Diamonds,Two,Clubs,Queen,Nothing
Diamonds,Seven,Spades,Seven,Clubs,Jack,Hearts,Queen,Diamonds,Ace,One_Pair
Hearts,King,Clubs,Eight,Spades,Seven,Spades,Ten,Diamonds,King,One_Pair
Spades,Six,Spades,Eight,Hearts,Jack,Hearts,Four,Diamonds,Seven,Nothing
Diamonds,Ten,Spades,Ten,Clubs,Five,Hearts,Two,Diamonds,Eight,One_Pair
Spades,Ace,Diamonds,King,Clubs,Six,Hearts,Nine,Clubs,Ace,One_Pair
Spades,Ten,Spades,Eight,Hearts,Eight,Diamonds,Two,Spades,King,One_Pair
Spades,King,Hearts,Five,Clubs,Five,Clubs,Eight,Diamonds,Three,One_Pair
Diamonds,Ace,Hearts,Five,Spades,Seven,Diamonds,King,Hearts,Ace,One_Pair
Hearts,Seven,Hearts,Five,Clubs,Eight,Hearts,Six,Spades,Six,One_Pair
Diamonds,Seven,Diamonds,Nine,Spades,Queen,Spades,Five,Clubs,Four,Nothing
Spades,Ten,Hearts,Ace,Hearts,Queen,Clubs,Six,Spades,Eight,Nothing
Diamonds,King,Spades,Seven,Clubs,Jack,Diamonds,Jack,Spades,Jack,Three_Kind
Clubs,Two,Spades,Seven,Diamonds,King,Spades,Jack,Diamonds,Ten,Nothing
Hearts,Jack,Spades,Seven,Hearts,Six,Clubs,Two,Hearts,Ace,Nothing
Diamonds,Four,Clubs,Three,Diamonds,Five,Spades,Queen,Hearts,Nine,Nothing
Diamonds,Two,Hearts,Six,Spades,Jack,Clubs,Three,Spades,Ten,Nothing
Clubs,Eight,Clubs,Three,Clubs,King,Clubs,Queen,Hearts,Ace,Nothing
Spades,Six,Clubs,Eight,Clubs,Three,Spades,Two,Hearts,Two,One_Pair
Clubs,King,Hearts,Six,Diamonds,Eight,Hearts,Three,Spades,Three,One_Pair
Spades,Nine,Spades,Ten,Clubs,Jack,Clubs,Seven,Clubs,Three,Nothing
Spades,Ten,Diamonds,Queen,Hearts,Two,Spades,Two,Spades,King,One_Pair
Spades,Five,Spades,Queen,Spades,Three,Hearts,Two,Diamonds,Three,One_Pair
Spades,Eight,Diamonds,Two,Spades,Five,Hearts,Queen,Clubs,Eight,One_Pair
Spades,Ace,Clubs,Seven,Clubs,Six,Clubs,Five,Hearts,Five,One_Pair
Diamonds,King,Spades,Ace,Diamonds,Seven,Hearts,Three,Spades,Six,Nothing
Clubs,Ten,Clubs,King,Diamonds,Five,Spades,Eight,Hearts,Ten,One_Pair
Hearts,Two,Hearts,Jack,Diamonds,Nine,Hearts,Seven,Diamonds,Five,Nothing
Spades,Two,Diamonds,Ace,Spades,Jack,Spades,Six,Clubs,Four,Nothing
Hearts,Ten,Clubs,Ace,Clubs,Four,Clubs,Queen,Hearts,Nine,Nothing
Clubs,Nine,Diamonds,King,Spades,Ace,Diamonds,Nine,Clubs,Queen,One_Pair
Clubs,Ace,Diamonds,Ace,Hearts,Three,Clubs,Four,Spades,Jack,One_Pair
Hearts,Five,Clubs,Four,Spades,King,Diamonds,Seven,Clubs,Ten,Nothing
Hearts,Ten,Diamonds,Seven,Hearts,Three,Diamonds,Six,Diamonds,Eight,Nothing
Clubs,Two,Diamonds,Four,Clubs,Seven,Diamonds,Nine,Spades,Ace,Nothing
Clubs,Eight,Hearts,Nine,Spades,Four,Hearts,Jack,Spades,Three,Nothing
Spades,Seven,Clubs,King,Spades,Three,Diamonds,Four,Spades,Ace,Nothing
Clubs,Queen,Spades,Three,Clubs,Seven,Spades,Five,Clubs,Ace,Nothing
Spades,Five,Diamonds,King,Diamonds,Queen,Diamonds,Seven,Hearts,King,One_Pair
Clubs,Eight,Diamonds,Two,Spades,Eight,Spades,Nine,Diamonds,Jack,One_Pair
Hearts,Eight,Hearts,Queen,Spades,Nine,Spades,Six,Diamonds,Two,Nothing
Hearts,Five,Diamonds,King,Spades,King,Spades,Seven,Clubs,Five,Two_Pairs
Clubs,Seven,Clubs,Ten,Diamonds,Ace,Diamonds,Three,Spades,Five,Nothing
Diamonds,King,Spades,Two,Clubs,Ten,Diamonds,Three,Spades,King,One_Pair
Hearts,Five,Diamonds,Seven,Hearts,Three,Hearts,Six,Spades,Eight,Nothing
Hearts,Two,Clubs,Three,Spades,Eight,Clubs,Jack,Clubs,King,Nothing
Spades,Ace,Hearts,Four,Clubs,Ace,Clubs,Jack,Diamonds,Seven,One_Pair
Hearts,Four,Clubs,Ace,Clubs,Queen,Spades,Three,Clubs,King,Nothing
Hearts,Nine,Clubs,Ace,Clubs,Seven,Clubs,Four,Diamonds,Two,Nothing
Clubs,Three,Diamonds,Ace,Hearts,Six,Hearts,Five,Spades,Ten,Nothing
Spades,Nine,Clubs,Two,Diamonds,Three,Spades,Six,Diamonds,Nine,One_Pair
Diamonds,Ace,Hearts,Five,Clubs,Eight,Diamonds,Ten,Diamonds,Five,One_Pair
Clubs,Seven,Clubs,Five,Spades,Nine,Diamonds,Eight,Hearts,Five,One_Pair
Clubs,King,Hearts,Jack,Clubs,Four,Diamonds,Five,Clubs,Ace,Nothing
Clubs,King,Diamonds,Eight,Hearts,Ace,Clubs,Six,Hearts,King,One_Pair
Clubs,Eight,Clubs,Four,Clubs,Two,Clubs,Ace,Clubs,Seven,Flush
Spades,Three,Clubs,Ten,Diamonds,Five,Diamonds,King,Clubs,Three,One_Pair
Hearts,Four,Spades,King,Diamonds,Ace,Clubs,Four,Clubs,Ace,Two_Pairs
Diamonds,Two,Clubs,Ten,Spades,Six,Hearts,Queen,Diamonds,Ten,One_Pair
Spades,Jack,Diamonds,Nine,Hearts,Jack,Clubs,Eight,Diamonds,Eight,Two_Pairs
Spades,Four,Hearts,Four,Spades,Five,Hearts,Eight,Hearts,King,One_Pair
Spades,King,Hearts,Nine,Hearts,Two,Hearts,Four,Clubs,Four,One_Pair
Clubs,Two,Diamonds,Ten,Hearts,Queen,Diamonds,Seven,Clubs,Eight,Nothing
Spades,Six,Hearts,King,Clubs,Five,Spades,Two,Clubs,Nine,Nothing
Hearts,Queen,Clubs,Five,Clubs,King,Diamonds,Jack,Diamonds,Ten,Nothing
Spades,Seven,Spades,Three,Diamonds,King,Diamonds,Jack,Hearts,Four,Nothing
Spades,Ten,Spades,Jack,Spades,Five,Diamonds,Six,Spades,Four,Nothing
Spades,Queen,Clubs,Six,Diamonds,Nine,Clubs,Ace,Clubs,Queen,One_Pair
Hearts,Eight,Hearts,Ten,Spades,King,Diamonds,Five,Hearts,Four,Nothing
Spades,Seven,Hearts,Four,Spades,King,Diamonds,Two,Clubs,Queen,Nothing
Spades,Seven,Clubs,Queen,Clubs,Ace,Clubs,King,Diamonds,Jack,Nothing
Hearts,Nine,Diamonds,Three,Clubs,Four,Hearts,Ten,Spades,Ace,Nothing
Spades,Ace,Diamonds,Queen,Diamonds,Eight,Hearts,Two,Diamonds,Ace,One_Pair
Hearts,Nine,Diamonds,Ten,Hearts,Eight,Clubs,Four,Hearts,Five,Nothing
Spades,Ace,Spades,Eight,Spades,Six,Diamonds,Ace,Diamonds,Four,One_Pair
Clubs,Jack,Diamonds,Queen,Diamonds,Four,Clubs,Queen,Clubs,Seven,One_Pair
Diamonds,Two,Clubs,Queen,Diamonds,Eight,Spades,Seven,Diamonds,Jack,Nothing
Diamonds,Queen,Spades,Queen,Spades,Eight,Diamonds,Jack,Hearts,Six,One_Pair
Diamonds,Seven,Hearts,Eight,Hearts,Seven,Clubs,Queen,Spades,Eight,Two_Pairs
